SN,TITLE,CONTENT_link,VOTE_SCORE,DATE
195779.0,담배 꽁초 재떨이를 만들어주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195779,0.0,2024-03-22 10:36:11.0
195778.0,미아동에 배변 쓰레기통이 필요합니다.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195778,1.0,2024-03-22 10:31:44.0
195777.0,음식물쓰레기를 함부로 버리지않았으면좋겠다,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195777,1.0,2024-03-22 10:31:29.0
195776.0,흡연실을 많이 만들어주세요.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195776,0.0,2024-03-22 10:30:15.0
195775.0,사거리에 신호등 설치가 필요합니다.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195775,1.0,2024-03-22 10:26:46.0
195774.0,애완동물의 건강을 지켜주세요!,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195774,3.0,2024-03-22 10:24:38.0
195773.0,흡연구역이 아닌곳에서 담배를 못피게 해주세요.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195773,4.0,2024-03-22 10:23:42.0
195772.0,반려동물 배설물 버리는 곳을 만들어 주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195772,5.0,2024-03-22 10:21:33.0
195771.0,바닥에 쓰래기가 버려지지 않게 해주세요!,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195771,4.0,2024-03-22 10:20:11.0
195770.0,산에 쓰레기가 너무 많이 버려져 있어요..,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195770,5.0,2024-03-22 10:18:58.0
195769.0,"흡연실을만들어주세요 , 유기동물처벌을 강화해주세요",https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195769,3.0,2024-03-22 10:17:23.0
195768.0,횡단보도를 만들어 주세요 .,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195768,3.0,2024-03-22 10:17:21.0
195767.0,지하철 좌석이 많아졌슴 좋겠어요.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195767,2.0,2024-03-22 10:16:14.0
195766.0,쓰레기통 설치를 확대시켜주세요.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195766,2.0,2024-03-22 10:14:24.0
195765.0,애완동물에 배설물을 잘치웠으면 좋겠습니다,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195765,1.0,2024-03-22 10:12:47.0
195764.0,쓰레기를 아무데나버리지않았으면 좋겠습니다,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195764,0.0,2024-03-22 10:11:57.0
195763.0,우이신설 증설 요청,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195763,0.0,2024-03-22 10:11:25.0
195762.0,전자킥보드와 따릉이에 관한 법을 강화해주세요!,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195762,1.0,2024-03-22 10:11:24.0
195761.0,신호등을 설치해주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195761,0.0,2024-03-22 10:09:01.0
195760.0,출톼근시간 262번 버스 증편 요청드립니다.,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195760,0.0,2024-03-21 17:49:06.0
195758.0,한강 물고기 산란장소,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195758,0.0,2024-03-21 16:06:05.0
195757.0,횡단보도 위치 변경,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195757,0.0,2024-03-21 15:17:36.0
195756.0,손목닥터9988 저가 밴드제품도 참가할 수 있게 해주세요,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195756,0.0,2024-03-21 15:03:30.0
195755.0,음식물쓰레기 처리를 통한 상생과 소득증대 설계,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195755,0.0,2024-03-21 14:40:12.0
195754.0,이말산 근린공원의 현대화,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195754,0.0,2024-03-20 07:35:53.0
195753.0,안전한 스쿨존 조성 사업,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195753,0.0,2024-03-20 04:49:36.0
195752.0,스쿨존 안전시스템구축,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195752,0.0,2024-03-19 23:23:28.0
195751.0,공동주택 관리규약 정보 공개 범위,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195751,0.0,2024-03-19 15:56:57.0
195750.0,안전한 스쿨존 조성 사업,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195750,0.0,2024-03-19 15:40:48.0
195749.0,1인용 실내식물원,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195749,0.0,2024-03-19 11:20:35.0
195748.0,스쿨존 애니타임 핸드폰방지 설치,https://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=195748,0.0,2024-03-18 21:16:36.0
